Id,Refreshing,Runner,Baker,Counter,Regulator,Has Python,Has Whiteboard,Has Reached Balmers Peak,DNE,Type of Activity Id,Type of Movie Id,Type of GPU Id,Type of Laptop Id,Type of Toaster Id,Type of Deck Id,Type of Whale Id,Type of Star Id,Type of Dog Id,Status
25,0,0,0,0,0,1,1,0,0,0.3,0.4,0.2,0.4,0.3,0.3,0.5,0.2,0.4,0.3958333333333333
140,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.2,0.2,0.2,0.1,0.3,0.1,0.0
319,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.3,0.3
329,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.12499999999999997
361,0,0,0,0,0,1,1,1,1,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.3,0.18181818181818182
396,0,1,0,0,0,0,0,0,0,0.3,0.3,0.4,0.3,0.3,0.3,0.5,0.2,0.4,0.175
594,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.8303571428571427
611,0,0,0,0,0,1,1,0,0,0.3,0.1,0.2,0.1,0.1,0.3,0.1,0.1,0.1,0.4666666666666667
613,0,0,0,0,0,0,0,0,0,0.4,0.6,0.5,0.2,0.2,0.2,0.1,0.2,0.1,0.6
628,0,0,0,0,0,1,0,0,0,0.3,0.6,0.2,0.3,0.3,0.3,0.1,0.2,0.1,0.31666666666666665
665,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
686,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.3,0.2,0.5,0.3,0.4,0.6
713,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.3,0.3,0.3,0.1,0.2,0.1,0.2
728,0,0,0,0,0,1,1,1,0,0.3,0.2,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.7407407407407407
793,0,0,0,0,0,1,1,1,0,0.3,0.2,0.2,0.3,0.3,0.2,0.5,0.2,0.4,0.9
816,0,0,0,0,0,1,0,0,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.05710922122560054
824,0,0,0,0,0,1,1,0,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0
875,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.5,0.3,0.3,0.1,0.2,0.1,0.07173913043478261
877,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.55
908,0,0,0,0,0,1,1,0,0,0.2,0.2,0.2,0.4,0.3,0.2,0.4,0.2,0.4,0.5725
1037,0,0,0,0,0,1,1,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.1,0.0
1047,0,0,0,0,0,1,1,0,0,0.3,0.5,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.39249999999999996
1137,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.4,0.3,0.4,0.5,0.2,0.4,0.0
1175,0,0,0,0,0,0,0,0,0,0.3,0.5,0.2,0.4,0.3,0.2,0.5,0.2,0.4,0.8
1329,0,0,0,0,0,0,0,0,0,0.3,0.4,0.2,0.4,0.3,0.2,0.5,0.2,0.4,0.1
1331,0,0,0,0,0,1,1,0,0,0.2,0.2,0.2,0.5,0.3,0.2,0.3,0.2,0.4,0.5230952380952381
1464,0,1,0,0,0,0,0,0,0,0.4,0.6,0.3,0.4,0.3,0.3,0.5,0.2,0.4,0.4
1489,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.3,0.0
1582,0,0,0,0,0,1,1,0,0,0.3,0.6,0.3,0.3,0.3,0.3,0.1,0.2,0.1,0.7766666666666666
1588,0,0,0,0,0,1,1,1,1,0.3,0.3,0.2,0.4,0.3,0.3,0.5,0.2,0.4,0.7
1697,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
1844,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
1845,0,0,0,0,0,1,0,1,1,0.2,0.2,0.2,0.5,0.4,0.2,0.5,0.2,0.4,0.1
2078,0,0,0,0,0,1,1,0,0,0.3,0.4,0.4,0.4,0.2,0.2,0.5,0.3,0.4,0.2
2185,0,0,0,0,0,0,1,1,0,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.4,0.7
2440,0,0,0,0,0,1,0,1,0,0.3,0.2,0.2,0.4,0.4,0.2,0.3,0.2,0.4,0.24285714285714288
2498,0,0,0,0,0,1,0,1,0,0.3,0.2,0.2,0.4,0.2,0.2,0.5,0.2,0.4,0.2
2525,0,1,0,0,0,1,1,0,0,0.2,0.2,0.2,0.3,0.2,0.2,0.4,0.6,0.3,0.5
2655,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.575
2733,0,0,0,0,0,1,1,1,0,0.3,0.2,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.7407407407407407
2827,0,0,0,0,0,1,1,1,0,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.10833333333333332
2881,0,0,0,0,0,0,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1207358429674725
2903,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.6,0.1,0.2,0.1,0.1,0.1,0.03333333333333333
2907,0,0,0,0,0,1,1,0,0,0.3,0.4,0.2,0.4,0.3,0.3,0.1,0.2,0.1,0.7783333333333333
